ID,Username,Email,First Name,Last Name,Enabled,Roles,Location
d9b5034b-8be5-441b-9218-03141b737d27,user0,user0@example.com,user0,user01,true,Admin; cashier; ,[Brazil]
a39d8709-7f66-4cbd-8098-09ac806b21c9,user1,user1@example.com,user1,user11,true,branch_manager; ,[Mons]
37496585-1512-4d9e-a56b-6047961aedd9,user10,user10@example.com,user10,user101,true,branch_manager; ,[Antwerp]
e007a911-ef6f-4d8e-9bc2-682fce76588c,user100,user100@example.com,user100,user1001,true,Admin; ,[New_York]
95f35273-4a23-45fb-8f82-2af8bb359271,user1000,user1000@example.com,user1000,user10001,true,Admin; ,[Namur]
79d5be0d-ef02-4592-8669-397ee7b97579,user1001,user1001@example.com,user1001,user10011,true,cashier; ,[Brazil]
62fc6974-c077-4daf-9f68-e8aec7d37c3d,user1002,user1002@example.com,user1002,user10021,true,Manager; ,[Mons]
2d3616ad-5f4b-4ff9-9256-ebd849d4f936,user1003,user1003@example.com,user1003,user10031,true,Admin; ,[Paris]
2854b226-a1a1-45ce-b42e-2964a20cb8f0,user1004,user1004@example.com,user1004,user10041,true,Manager; ,[Brussels]
b7bfe30e-a55a-4c43-a846-a03e8ef921e7,user1005,user1005@example.com,user1005,user10051,true,Admin; ,[Mons]
b970d758-6c49-4e68-b9e6-fba11f6709c5,user1006,user1006@example.com,user1006,user10061,true,uma_protection; ,[Brussels]
a0d72f1d-cc65-44d2-8297-d34b0cc1856b,user1007,user1007@example.com,user1007,user10071,true,cashier; ,[Antwerp]
963e1750-978c-4e91-9762-e68b5154c78e,user1008,user1008@example.com,user1008,user10081,true,uma_protection; ,[Antwerp]
52648988-b2a6-4e5b-9ffd-60e61e556256,user1009,user1009@example.com,user1009,user10091,true,Admin; ,[New_York]
00dfd007-37b2-4742-a325-4907efbea282,user101,user101@example.com,user101,user1011,true,Manager; ,[New_York]
19768eeb-97b1-4a70-9825-9ba2e8da99b8,user1010,user1010@example.com,user1010,user10101,true,branch_manager; ,[Namur]
db5143a6-85c5-42ba-86f7-f07b2a5dc03e,user1011,user1011@example.com,user1011,user10111,true,Admin; ,[USA]
635c006d-f66e-46d1-b5e8-6416cf35081b,user1012,user1012@example.com,user1012,user10121,true,branch_manager; ,[Brazil]
